site,fdate,resolution,gnis_id.x,gnis_name,lengthkm,reachcode,flowdir,wbareacomi,ftype,fcode,shape_length,streamleve,streamorde,streamcalc,fromnode,tonode,hydroseq,levelpathi,pathlength,terminalpa,arbolatesu,divergence,startflag,terminalfl,dnlevel,uplevelpat,uphydroseq,dnlevelpat,dnminorhyd,dndraincou,dnhydroseq,frommeas,tomeas,rtndiv,vpuin,vpuout,areasqkm.x,totdasqkm,divdasqkm,tidal,totma,wbareatype,pathtimema,hwnodesqkm,maxelevraw,minelevraw,maxelevsmo,minelevsmo,slope,elevfixed,hwtype,slopelenkm,qa_ma,va_ma,qc_ma,vc_ma,qe_ma,ve_ma,qa_01,va_01,qc_01,vc_01,qe_01,ve_01,qa_02,va_02,qc_02,vc_02,qe_02,ve_02,qa_03,va_03,qc_03,vc_03,qe_03,ve_03,qa_04,va_04,qc_04,vc_04,qe_04,ve_04,qa_05,va_05,qc_05,vc_05,qe_05,ve_05,qa_06,va_06,qc_06,vc_06,qe_06,ve_06,qa_07,va_07,qc_07,vc_07,qe_07,ve_07,qa_08,va_08,qc_08,vc_08,qe_08,ve_08,qa_09,va_09,qc_09,vc_09,qe_09,ve_09,qa_10,va_10,qc_10,vc_10,qe_10,ve_10,qa_11,va_11,qc_11,vc_11,qe_11,ve_11,qa_12,va_12,qc_12,vc_12,qe_12,ve_12,lakefract,surfarea,rareahload,rpuid,vpuid,enabled,tnmid,metasourceid,sourcedatadesc,sourceoriginator,sourcefeatureid,loaddate,gnis_id.y,areaacres,areasqkm.y,states,huc12,name,hutype,humod,tohuc,noncontributingareaacres,noncontributingareasqkm,globalid,pctimp2019slp20cat,catpctfull,wspctfull,pctimp2019slp20ws,bfiws,bficat,elevcat,elevws,pctimp2019cat,pctimp2019ws,pctbl2019cat,pctbl2019ws,pctconif2019cat,pctconif2019ws,pctcrop2019cat,pctcrop2019ws,pctdecid2019cat,pctdecid2019ws,pctgrs2019cat,pctgrs2019ws,pcthay2019cat,pcthay2019ws,pcthbwet2019cat,pcthbwet2019ws,pctice2019cat,pctice2019ws,pctmxfst2019cat,pctmxfst2019ws,pctow2019cat,pctow2019ws,pctshrb2019cat,pctshrb2019ws,pcturbhi2019cat,pcturbhi2019ws,pcturblo2019cat,pcturblo2019ws,pcturbmd2019cat,pcturbmd2019ws,pcturbop2019cat,pcturbop2019ws,pctwdwet2019cat,pctwdwet2019ws,runoffws,runoffcat,omcat,omws,pctimp2019slp10cat,pctimp2019slp10ws,catareasqkm,wsareasqkm,catareasqkmrp100,wsareasqkmrp100,pctlowsevmtbs2003cat,pctlowsevmtbs2003ws,pctmodsevmtbs2003cat,pctmodsevmtbs2003ws,pcthighsevmtbs2003cat,pcthighsevmtbs2003ws,pctlowsevmtbs1993ws,pctmodsevmtbs1993cat,pctmodsevmtbs1993ws,pcthighsevmtbs1993cat,pcthighsevmtbs1993ws,pctlowsevmtbs1993cat,pctlowsevmtbs2005cat,pctlowsevmtbs2005ws,pctmodsevmtbs2005cat,pctmodsevmtbs2005ws,pcthighsevmtbs2005cat,pcthighsevmtbs2005ws,pctlowsevmtbs2014cat,pctlowsevmtbs2014ws,pctmodsevmtbs2014cat,pctmodsevmtbs2014ws,pcthighsevmtbs2014cat,pcthighsevmtbs2014ws,pctlowsevmtbs1984cat,pctlowsevmtbs1984ws,pctmodsevmtbs1984cat,pctmodsevmtbs1984ws,pcthighsevmtbs1984cat,pcthighsevmtbs1984ws,pctlowsevmtbs1986cat,pctlowsevmtbs1986ws,pctmodsevmtbs1986cat,pctmodsevmtbs1986ws,pcthighsevmtbs1986cat,pcthighsevmtbs1986ws,pctlowsevmtbs1989cat,pctlowsevmtbs1989ws,pctmodsevmtbs1989cat,pctmodsevmtbs1989ws,pcthighsevmtbs1989cat,pcthighsevmtbs1989ws,pctlowsevmtbs1994cat,pctlowsevmtbs1994ws,pctmodsevmtbs1994cat,pctmodsevmtbs1994ws,pcthighsevmtbs1994cat,pcthighsevmtbs1994ws,pctlowsevmtbs1997cat,pctlowsevmtbs1997ws,pctmodsevmtbs1997cat,pctmodsevmtbs1997ws,pcthighsevmtbs1997cat,pcthighsevmtbs1997ws,pctlowsevmtbs2000cat,pctlowsevmtbs2000ws,pctmodsevmtbs2000cat,pctmodsevmtbs2000ws,pcthighsevmtbs2000cat,pcthighsevmtbs2000ws,pctlowsevmtbs2001cat,pctlowsevmtbs2001ws,pctmodsevmtbs2001cat,pctmodsevmtbs2001ws,pcthighsevmtbs2001cat,pcthighsevmtbs2001ws,pctlowsevmtbs2009cat,pctlowsevmtbs2009ws,pctmodsevmtbs2009cat,pctmodsevmtbs2009ws,pcthighsevmtbs2009cat,pcthighsevmtbs2009ws,pctlowsevmtbs2012cat,pctlowsevmtbs2012ws,pctmodsevmtbs2012cat,pctmodsevmtbs2012ws,pcthighsevmtbs2012cat,pcthighsevmtbs2012ws,pctlowsevmtbs2015cat,pctlowsevmtbs2015ws,pctmodsevmtbs2015cat,pctmodsevmtbs2015ws,pcthighsevmtbs2015cat,pcthighsevmtbs2015ws,pctlowsevmtbs1985cat,pctlowsevmtbs1985ws,pctmodsevmtbs1985cat,pctmodsevmtbs1985ws,pcthighsevmtbs1985cat,pcthighsevmtbs1985ws,pctlowsevmtbs1987cat,pctlowsevmtbs1987ws,pctmodsevmtbs1987cat,pctmodsevmtbs1987ws,pcthighsevmtbs1987cat,pcthighsevmtbs1987ws,pctlowsevmtbs1988cat,pctlowsevmtbs1988ws,pctmodsevmtbs1988cat,pctmodsevmtbs1988ws,pcthighsevmtbs1988cat,pcthighsevmtbs1988ws,pctlowsevmtbs1990cat,pctlowsevmtbs1990ws,pctmodsevmtbs1990cat,pctmodsevmtbs1990ws,pcthighsevmtbs1990cat,pcthighsevmtbs1990ws,pctlowsevmtbs1995cat,pctlowsevmtbs1995ws,pctmodsevmtbs1995cat,pctmodsevmtbs1995ws,pcthighsevmtbs1995cat,pcthighsevmtbs1995ws,pctlowsevmtbs1999cat,pctlowsevmtbs1999ws,pctmodsevmtbs1999cat,pctmodsevmtbs1999ws,pcthighsevmtbs1999cat,pcthighsevmtbs1999ws,pctlowsevmtbs2002cat,pctlowsevmtbs2002ws,pctmodsevmtbs2002cat,pctmodsevmtbs2002ws,pcthighsevmtbs2002cat,pcthighsevmtbs2002ws,pctlowsevmtbs2007cat,pctlowsevmtbs2007ws,pctmodsevmtbs2007cat,pctmodsevmtbs2007ws,pcthighsevmtbs2007cat,pcthighsevmtbs2007ws,pctlowsevmtbs2008cat,pctlowsevmtbs2008ws,pctmodsevmtbs2008cat,pctmodsevmtbs2008ws,pcthighsevmtbs2008cat,pcthighsevmtbs2008ws,pctlowsevmtbs2010cat,pctlowsevmtbs2010ws,pctmodsevmtbs2010cat,pctmodsevmtbs2010ws,pcthighsevmtbs2010cat,pcthighsevmtbs2010ws,pctlowsevmtbs2011ws,pctmodsevmtbs2011cat,pctmodsevmtbs2011ws,pcthighsevmtbs2011cat,pcthighsevmtbs2011ws,pctlowsevmtbs2011cat,pctlowsevmtbs1996cat,pctlowsevmtbs1996ws,pctmodsevmtbs1996cat,pctmodsevmtbs1996ws,pcthighsevmtbs1996cat,pcthighsevmtbs1996ws,pctlowsevmtbs2013cat,pctlowsevmtbs2013ws,pctmodsevmtbs2013cat,pctmodsevmtbs2013ws,pcthighsevmtbs2013cat,pcthighsevmtbs2013ws,pctburnareamtbs1984cat,pctburnareamtbs1984ws,pctburnareamtbs1985cat,pctburnareamtbs1985ws,pctburnareamtbs1986cat,pctburnareamtbs1986ws,pctburnareamtbs1987cat,pctburnareamtbs1987ws,pctburnareamtbs1988cat,pctburnareamtbs1988ws,pctburnareamtbs1989cat,pctburnareamtbs1989ws,pctburnareamtbs1990cat,pctburnareamtbs1990ws,pctburnareamtbs1991cat,pctburnareamtbs1991ws,pctburnareamtbs1992cat,pctburnareamtbs1992ws,pctburnareamtbs1993cat,pctburnareamtbs1993ws,pctburnareamtbs1994cat,pctburnareamtbs1994ws,pctburnareamtbs1995cat,pctburnareamtbs1995ws,pctburnareamtbs1996cat,pctburnareamtbs1996ws,pctburnareamtbs1997cat,pctburnareamtbs1997ws,pctburnareamtbs1998cat,pctburnareamtbs1998ws,pctburnareamtbs1999cat,pctburnareamtbs1999ws,pctburnareamtbs2000cat,pctburnareamtbs2000ws,pctburnareamtbs2001cat,pctburnareamtbs2001ws,pctburnareamtbs2002cat,pctburnareamtbs2002ws,pctburnareamtbs2003cat,pctburnareamtbs2003ws,pctburnareamtbs2004cat,pctburnareamtbs2004ws,pctburnareamtbs2005cat,pctburnareamtbs2005ws,pctburnareamtbs2006cat,pctburnareamtbs2006ws,pctburnareamtbs2007cat,pctburnareamtbs2007ws,pctburnareamtbs2008cat,pctburnareamtbs2008ws,pctburnareamtbs2009cat,pctburnareamtbs2009ws,pctburnareamtbs2010cat,pctburnareamtbs2010ws,pctburnareamtbs2011cat,pctburnareamtbs2011ws,pctburnareamtbs2012cat,pctburnareamtbs2012ws,pctburnareamtbs2013cat,pctburnareamtbs2013ws,pctburnareamtbs2014cat,pctburnareamtbs2014ws,pctburnareamtbs2015cat,pctburnareamtbs2015ws,pctburnareamtbs2016cat,pctburnareamtbs2016ws,pctburnareamtbs2017cat,pctburnareamtbs2017ws,pctburnareamtbs2018cat,pctburnareamtbs2018ws,pctlowsevmtbs1991cat,pctlowsevmtbs1991ws,pctmodsevmtbs1991cat,pctmodsevmtbs1991ws,pcthighsevmtbs1991cat,pcthighsevmtbs1991ws,pctlowsevmtbs1992cat,pctlowsevmtbs1992ws,pctmodsevmtbs1992cat,pctmodsevmtbs1992ws,pcthighsevmtbs1992cat,pcthighsevmtbs1992ws,pctlowsevmtbs1998cat,pctmodsevmtbs1998cat,pctmodsevmtbs1998ws,pcthighsevmtbs1998cat,pcthighsevmtbs1998ws,pctlowsevmtbs1998ws,pctlowsevmtbs2004cat,pctlowsevmtbs2004ws,pctmodsevmtbs2004cat,pcthighsevmtbs2004cat,pcthighsevmtbs2004ws,pctmodsevmtbs2004ws,pctlowsevmtbs2006cat,pctlowsevmtbs2006ws,pctmodsevmtbs2006cat,pctmodsevmtbs2006ws,pcthighsevmtbs2006cat,pcthighsevmtbs2006ws,pctlowsevmtbs2016cat,pctlowsevmtbs2016ws,pctmodsevmtbs2016cat,pctmodsevmtbs2016ws,pcthighsevmtbs2016cat,pcthighsevmtbs2016ws,pctlowsevmtbs2017cat,pctlowsevmtbs2017ws,pctmodsevmtbs2017cat,pctmodsevmtbs2017ws,pcthighsevmtbs2017cat,pcthighsevmtbs2017ws,pctlowsevmtbs2018cat,pctlowsevmtbs2018ws,pctmodsevmtbs2018cat,pctmodsevmtbs2018ws,pcthighsevmtbs2018cat,pcthighsevmtbs2018ws,hydrlcondws,hydrlcondcat,AriditySite,AridityWs,TmeanSite,TmaxSite,TminSite,PrecipSite,AluminumSite,CalciumSite,CopperSite,IronSite,ManganeseSite,PhosphSite,AluminumWs,CalciumWs,CopperWs,IronWs,ManganeseWs,PhosphWs,geometry,
BLU-BLU,2/12/2001 21:00,Medium,1117862,Blue River,1.744,1.709E+13,With Digitized,0,StreamRiver,46006,0.016864523,4,4,4,50076930,50076929,50044854,50040829,523.944,50001315,134.908,0,0,0,4,50040829,50047302,50040829,0,1,50042717,0,100,0,0,0,1.3392,227.9673,227.9673,0,0.032322068, ,3.584398052,NA,-9998,32078,39450,32268,0.04118119,0, ,1.744,449.454,2.04317,457.985,2.04581,468.106,2.04889,759.737,2.60084,1076.509,3.04362,878.368,2.73955,780.426,2.63378,1052.008,3.01038,428.667,1.96942,767.539,2.61331,905.392,2.8034,410.194,1.93102,667.544,2.44865,723.465,2.52323,354.837,1.81079,488.738,2.1221,546.9,2.21746,329.575,1.75301,277.065,1.65016,283.843,1.65604,242.514,1.53588,139.387,1.24004,98.572,1.07695,296.462,1.67403,72.845,0.96848,46.127,0.8219,399.374,1.90815,46.147,0.82639,43.415,0.80564,279.097,1.63096,105.32,1.11122,100.444,1.08467,331.797,1.75818,573.086,2.28209,597.799,2.30983,694.766,2.45492,718.568,2.53401,986.165,2.91922,957.794,2.85391,NA,NA,NA,17c,17,1,{832A3407-F2DC-4E0A-AF79-D8E419E1715A},NA,NA,NA,NA,1/17/2013 23:09,NA,12798.11,51.79,OR,HUC-170900040403,Lower Blue River,S,NM,1.709E+11,0,0,{AF1A7E30-E29C-11E2-8094-0021280458E6},0.93,100,100,0.16,60.6833,53.9032,466.2803,929.3189,0.9,0.17,0.47,0.2,78.9,94.96,0,0,0.13,0.02,0,0.25,0,0.01,0,0,0,0,1.08,0.22,0,1.16,11.9,3,0,0,1.48,0.03,0.13,0,5.91,0.13,0,0.02,1287.3074,1285,2.797943548,2.98793527,0.92,0.16,1.3392,227.9673,0.3807,29.8044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2521,0.2579,0.686799805,1.494237213,24.48489952,29.59000015,19.38059998,1478.239014,1.249066353,19.23431969,63.96387482,0.818640232,87.45987701,0.041239195,9.178616063,2.793930771,52,5.786885123,963.0892408,0.1057728,c(-80.961292, 25.410771)
BLU-TID,2/12/2001 21:00,Medium,1117862,Blue River,1.468,1.709E+13,With Digitized,0,StreamRiver,46006,0.013899687,4,3,3,50076940,50076939,50057203,50040829,534.167,50001315,73.467,0,0,0,4,50040829,50061820,50040829,0,1,50053363,0,100,0,0,0,1.2159,119.3625,119.3625,0,0.038616916, ,47.54142872,NA,-9998,41269,43470,42448,0.00696185,0, ,1.468,242.062,1.43801,242.764,1.43827,257.043,1.44351,399.744,1.78278,660.838,2.23135,474.499,1.88024,413.843,1.81017,675.74,2.25425,473.662,1.87877,410.355,1.80343,548.363,2.04997,400.255,1.74444,362.291,1.70774,398.475,1.77837,351.05,1.64782,270.417,1.50644,287.684,1.54486,256.392,1.44199,155.333,1.20093,150.496,1.18492,128.41,1.09362,77.854,0.92688,54.372,0.81887,40.31,0.73282,40.595,0.74608,27.137,0.66135,20.639,0.60585,25.334,0.64914,26.419,0.65636,25.625,0.64207,59.703,0.84557,62.066,0.85604,66.599,0.86249,308.886,1.59412,327.911,1.63385,344.603,1.6347,381.817,1.74729,568.941,2.08438,515.162,1.95039,NA,NA,NA,17c,17,1,{7E390A85-D7D8-4A6D-AEC8-4E23DE0380AE},NA,NA,NA,NA,1/17/2013 23:09,NA,30420.85,123.11,OR,HUC-170900040402,Upper Blue River,S,NM,1.709E+11,0,0,{AF1A651D-E29C-11E2-8094-0021280458E6},0.24,100,100,0.17,60.5565,56.3856,538.1301,973.6319,0.25,0.18,0,0,100,95.78,0,0,0,0.01,0,0.26,0,0,0,0,0,0,0,0.15,0,0.01,0,3.77,0,0,0,0,0,0,0,0,0,0.03,1290.6067,1285,2.19,3.081221414,0.23,0.17,1.2159,119.3625,0.3042,16.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2614,0.2579,0.33250603,1.546947563,4.974899769,11.71999931,-1.767399907,809.1009521,3.202224016,5.152218342,53.09243774,1.316203237,343.2731018,0.085935175,9.20833601,2.837203942,52,5.806014123,969.701745,0.10668237,c(-111.580632, 41.951766)
BRO-LAP,7/20/2005 21:00,Medium, , ,3.889,1.70703E+13,With Digitized,0,StreamRiver,46006,0.04193967,3,2,2,50070539,50070538,50075253,50067825,691.465,50001315,26.206,0,0,0,3,50067825,50085228,50067825,0,1,50067825,0,36.648,0,0,0,9.054,51.8805,51.8805,0,0.130086742, ,206.1953492,NA,-9998,132385,134497,132385,0.0054307,0, ,3.889,49.786,1.15235,47.941,1.14977,38.645,1.13521,27.16,0.92014,85.632,1.45329,34.854,1.0911,32.069,0.97656,113.424,1.63757,33.634,1.07643,50.314,1.15709,102.133,1.56559,34.608,1.08816,65.234,1.28258,74.78,1.3738,36.361,1.10889,72.425,1.3382,68.851,1.32808,36.524,1.11079,71.827,1.33368,64.602,1.29416,37.76,1.1251,63.038,1.26502,43.825,1.11061,39.516,1.14505,52.943,1.18036,34.531,1.01524,42.414,1.17709,44.773,1.1061,42.342,1.09608,42.949,1.18289,42.191,1.08134,46.235,1.13374,41.811,1.17051,44.321,1.10182,49.718,1.16619,40.324,1.15409,31.499,0.97023,64.937,1.29688,37.781,1.12534,NA,NA,NA,17c,17,1,{C27921EC-FCD0-40B5-A97E-0CF37EFF8B0A},NA,NA,NA,NA,1/17/2013 23:09,NA,26523.58,107.34,OR,HUC-170703010207,Wickiup Reservoir-Deschutes River,S,"DM,TF,OC",1.70703E+11,0,0,{AE8EDA4E-E29C-11E2-8094-0021280458E6},0.08,100,100,0.03,83.691,85.5328,1379.2375,1575.2983,0.33,0.19,0,0.11,86.98,93.56,0,0,0,0,0.05,0.25,0,0,0.83,0.32,0,0,0,0,0.27,0.26,1.92,2.9,0,0,0.11,0.04,0.06,0.02,5.45,1.47,4.33,1.08,1167.9723,1168,1.150950298,1.817293954,0.18,0.08,9.054,51.8805,0.846,6.7365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2159,0.3104,0.317504736,0.910103863,8.384900093,15.32999992,1.43719995,550.0709839,3.201402903,4.789527416,62.43224716,1.384509802,337.8127441,0.078259282,9.0399734,2.752571054,52,4.721098883,978.0128131,0.148207722,c(-111.79139, 41.739449)
C10,2/6/2001 21:00,Medium,1517824,Clear Creek,5.596,1.703E+13,With Digitized,0,StreamRiver,46006,0.066058308,6,3,3,50128028,50128027,50060015,50055708,801.16,50001315,28.643,0,0,0,6,50055708,50071861,50055708,0,1,50055708,0,100,0,0,0,19.5318,53.4006,53.4006,0,0.155771106, ,149.1582527,NA,-9998,91283,102709,91283,0.02041815,0, ,5.596,57.592,1.36706,55.666,1.36415,55.666,1.36415,15.6,0.83751,56.19,1.36941,56.19,1.36941,16.112,0.84666,70.164,1.50222,70.164,1.50222,33.563,1.10316,73.852,1.53514,73.852,1.53514,56.728,1.3586,65.249,1.45706,65.249,1.45706,81.083,1.57794,77.828,1.56978,77.828,1.56978,98.407,1.71542,91.237,1.68087,91.237,1.68087,103.41,1.75297,72.661,1.52459,72.661,1.52459,90.062,1.65075,55.92,1.3667,55.92,1.3667,61.084,1.40067,54.766,1.35505,54.766,1.35505,53.074,1.32212,56.17,1.36921,56.17,1.36921,53.938,1.33085,60.168,1.40866,60.168,1.40866,28.451,1.0364,59.435,1.40152,59.435,1.40152,NA,NA,NA,17b,17,1,{84763A2E-ECA1-4594-90F4-482D06853481},NA,NA,NA,NA,1/17/2013 23:09,NA,13184.44,53.36,WA,HUC-170300020301,Clear Creek,S,NM,1.703E+11,0,0,{AC39E072-E29C-11E2-8094-0021280458E6},1.42,100,100,0.76,70,70,1318.8609,1427.8484,0.92,0.64,1.21,0.71,85.43,88.28,0,0,0.24,0.16,0.7,0.81,0,0,0,0.05,0,0,0,0,0.31,1.33,7.39,5.07,0.15,0.1,0.64,0.51,0.78,0.54,0.65,0.46,2.52,1.97,1040.7494,1030,1.256969865,1.297314187,1.32,0.7,19.5318,53.4006,1.2096,6.4107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.3651,0.298899487,1.676154705,8.719900131,15.84999943,1.58739996,417.1829834,3.470949411,4.845459938,65.23101807,1.478653073,363.2374878,0.078496411,9.038633634,2.46455353,52,4.300610917,726.8701015,0.067924015,c(-111.877277, 41.712207)
C11,2/6/2001 21:00,Medium,1517824,Clear Creek,5.596,1.703E+13,With Digitized,0,StreamRiver,46006,0.066058308,6,3,3,50128028,50128027,50060015,50055708,801.16,50001315,28.643,0,0,0,6,50055708,50071861,50055708,0,1,50055708,0,100,0,0,0,19.5318,53.4006,53.4006,0,0.155771106, ,149.1582527,NA,-9998,91283,102709,91283,0.02041815,0, ,5.596,57.592,1.36706,55.666,1.36415,55.666,1.36415,15.6,0.83751,56.19,1.36941,56.19,1.36941,16.112,0.84666,70.164,1.50222,70.164,1.50222,33.563,1.10316,73.852,1.53514,73.852,1.53514,56.728,1.3586,65.249,1.45706,65.249,1.45706,81.083,1.57794,77.828,1.56978,77.828,1.56978,98.407,1.71542,91.237,1.68087,91.237,1.68087,103.41,1.75297,72.661,1.52459,72.661,1.52459,90.062,1.65075,55.92,1.3667,55.92,1.3667,61.084,1.40067,54.766,1.35505,54.766,1.35505,53.074,1.32212,56.17,1.36921,56.17,1.36921,53.938,1.33085,60.168,1.40866,60.168,1.40866,28.451,1.0364,59.435,1.40152,59.435,1.40152,NA,NA,NA,17b,17,1,{84763A2E-ECA1-4594-90F4-482D06853481},NA,NA,NA,NA,1/17/2013 23:09,NA,13184.44,53.36,WA,HUC-170300020301,Clear Creek,S,NM,1.703E+11,0,0,{AC39E072-E29C-11E2-8094-0021280458E6},1.42,100,100,0.76,70,70,1318.8609,1427.8484,0.92,0.64,1.21,0.71,85.43,88.28,0,0,0.24,0.16,0.7,0.81,0,0,0,0.05,0,0,0,0,0.31,1.33,7.39,5.07,0.15,0.1,0.64,0.51,0.78,0.54,0.65,0.46,2.52,1.97,1040.7494,1030,1.256969865,1.297314187,1.32,0.7,19.5318,53.4006,1.2096,6.4107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,0.3651,0.298899487,1.676154705,8.719900131,15.84999943,1.58739996,417.1829834,3.470949411,4.845459938,65.23101807,1.478653073,363.2374878,0.078496411,9.038633634,2.46455353,52,4.300610917,726.8701015,0.067924015,c(-111.877277, 41.712207)
